17596	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
17596	5772	General	_NotDefined		2	DAF SR SR1132T	2 - DAF SR SR1132T
17596	5802	General	_NotDefined		2	DAF HR HR1355T	2 - DAF HR HR1355T
23996	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23996	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23996	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23996	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23996	5803	General	_NotDefined		2	DAF SR SR1360T	2 - DAF SR SR1360T
23996	7147	General	_NotDefined		2	DAF HR HR1670T	2 - DAF HR HR1670T
23916	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23916	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23916	5801	General	_NotDefined		2	DAF N-Series 183N	2 - DAF N-Series 183N
23916	7145	General	_NotDefined		2	DAF N-Series 165N	2 - DAF N-Series 165N
23916	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
23916	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
23916	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23934	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23934	5770	General	_NotDefined		2	DAF N-Series 150N	2 - DAF N-Series 150N
23934	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
23934	5789	General	_NotDefined		3	DAF HR HR1357	3 - DAF HR HR1357
23934	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23940	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23940	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23940	5770	General	_NotDefined		2	DAF N-Series 150N	2 - DAF N-Series 150N
23940	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
23940	5789	General	_NotDefined		3	DAF HR HR1357	3 - DAF HR HR1357
23940	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23946	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23946	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23946	5770	General	_NotDefined		2	DAF N-Series 150N	2 - DAF N-Series 150N
23946	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
23946	5789	General	_NotDefined		3	DAF HR HR1357	3 - DAF HR HR1357
23946	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
23952	5804	General	_NotDefined		1	DAF N-Series 167N	1 - DAF N-Series 167N
23952	7146	General	_NotDefined		1	DAF N-Series 187N	1 - DAF N-Series 187N
23952	5801	General	_NotDefined		2	DAF N-Series 183N	2 - DAF N-Series 183N
23952	7145	General	_NotDefined		2	DAF N-Series 165N	2 - DAF N-Series 165N
23952	5772	General	_NotDefined		3	DAF SR SR1132T	3 - DAF SR SR1132T
23952	7147	General	_NotDefined		3	DAF HR HR1670T	3 - DAF HR HR1670T
23953	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
23953	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
23953	5801	General	_NotDefined		2	DAF N-Series 183N	2 - DAF N-Series 183N
23953	7145	General	_NotDefined		2	DAF N-Series 165N	2 - DAF N-Series 165N
23953	5772	General	_NotDefined		3	DAF SR SR1132T	3 - DAF SR SR1132T
23953	7147	General	_NotDefined		3	DAF HR HR1670T	3 - DAF HR HR1670T
23953	7148	General	_NotDefined		3	DAF HR HR1360T	3 - DAF HR HR1360T
17602	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
17602	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17602	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17597	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17597	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17597	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17597	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17645	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17645	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17645	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17640	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17640	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17640	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17640	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17607	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17607	5800	General	_NotDefined		1	DAF N-Series 161N	1 - DAF N-Series 161N
17607	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17607	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17607	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17666	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17666	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
17666	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
17612	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17612	5774	General	_NotDefined		2	DAF SR SR1347	2 - DAF SR SR1347
17612	5788	General	_NotDefined		2	DAF HR HR1356	2 - DAF HR HR1356
17612	5799	General	_NotDefined		2	DAF SR SR1344	2 - DAF SR SR1344
17661	5779	General	_NotDefined		1	DAF N-Series 163N	1 - DAF N-Series 163N
17661	5774	General	_NotDefined		3	DAF SR SR1347	3 - DAF SR SR1347
17661	5788	General	_NotDefined		3	DAF HR HR1356	3 - DAF HR HR1356
17661	5799	General	_NotDefined		3	DAF SR SR1344	3 - DAF SR SR1344
17617	5801	General	_NotDefined		1	DAF N-Series 183N	1 - DAF N-Series 183N
